bacteria;sys_id;type;subtype;hit_id;gene_name;cluster_80_80;cluster_99_99;cluster_999_999
001-031-c1;ESCO.0423.00334.0017i_RM_Type_II_3146;RM;RM_Type_II;ESCO.0423.00334.0017i_02555;RM_Type_II__Type_II_MTases;ESCO.0423.00002.0001i_04307;ESCO.0423.00002.0001i_04307;ESCO.0423.00002.0001i_04307
001-031-c1;ESCO.0423.00334.0017i_RM_Type_II_3146;RM;RM_Type_II;ESCO.0423.00334.0017i_02556;RM_Type_II__Type_II_REases;ESCO.0423.00002.0001i_04308;ESCO.0423.00002.0001i_04308;ESCO.0423.00002.0001i_04308
001-031-c1;ESCO.0423.00334.0019i_MazEF_2175;MazEF;MazEF;ESCO.0423.00334.0019i_02701;MazEF__MazE;ESCO.0423.00001.0001i_03735;ESCO.0423.00006.0002i_03128;ESCO.0423.00006.0002i_03128
001-031-c1;ESCO.0423.00334.0019i_MazEF_2175;MazEF;MazEF;ESCO.0423.00334.0019i_02702;MazEF__MazF;ESCO.0423.00001.0001i_03734;ESCO.0423.00001.0001i_03734;ESCO.0423.00005.0001i_03124
001-031-c1;ESCO.0423.00334.0026i_CAS_Class1-Subtype-I-F_4458;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00334.0026i_03193;cas1_I-F_1;ESCO.0423.00006.0001i_00828;ESCO.0423.00006.0001i_00828;ESCO.0423.00006.0001i_00828
001-031-c1;ESCO.0423.00334.0026i_CAS_Class1-Subtype-I-F_4458;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00334.0026i_03194;cas3f_I-F_1;ESCO.0423.00006.0001i_00829;ESCO.0423.00006.0001i_00829;ESCO.0423.00006.0001i_00829
001-031-c1;ESCO.0423.00334.0026i_CAS_Class1-Subtype-I-F_4458;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00334.0026i_03196;cas5f_I-F_3;ESCO.0423.00006.0001i_00831;ESCO.0423.00006.0001i_00831;ESCO.0423.00006.0001i_00831
001-031-c1;ESCO.0423.00334.0026i_CAS_Class1-Subtype-I-F_4458;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00334.0026i_03198;cas6f_I_II_III_IV_V_VI_2;ESCO.0423.00006.0001i_00833;ESCO.0423.00006.0001i_00833;ESCO.0423.00006.0001i_00833
001-031-c1;ESCO.0423.00334.0026i_CAS_Class1-Subtype-I-F_4458;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00334.0026i_03197;cas7f_I-F_2;ESCO.0423.00006.0001i_00832;ESCO.0423.00006.0001i_00832;ESCO.0423.00334.0026i_03197
001-031-c1;ESCO.0423.00334.0026i_CAS_Class1-Subtype-I-F_4458;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00334.0026i_03195;cas8f_I-F_4;ESCO.0423.00006.0001i_00830;ESCO.0423.00006.0001i_00830;ESCO.0423.00006.0001i_00830
001-031-c1;ESCO.0423.00334.0039i_RM_Type_IIG_3493;RM;RM_Type_IIG;ESCO.0423.00334.0039i_03804;RM_Type_IIG__Type_IIG;ESCO.0423.00006.0002i_03424;ESCO.0423.00006.0002i_03424;ESCO.0423.00006.0002i_03424
001-031-c1;ESCO.0423.00334.0053i_RM_Type_I_2970;RM;RM_Type_I;ESCO.0423.00334.0053i_04340;RM__Type_I_MTases;ESCO.0423.00001.0001i_05396;ESCO.0423.00001.0001i_05396;ESCO.0423.00006.0002i_05023
001-031-c1;ESCO.0423.00334.0053i_RM_Type_I_2970;RM;RM_Type_I;ESCO.0423.00334.0053i_04341;RM__Type_I_REases;ESCO.0423.00001.0001i_05397;ESCO.0423.00001.0001i_05397;ESCO.0423.00006.0002i_05024
001-031-c1;ESCO.0423.00334.0053i_RM_Type_I_2970;RM;RM_Type_I;ESCO.0423.00334.0053i_04339;RM__Type_I_S;ESCO.0423.00006.0002i_05022;ESCO.0423.00006.0002i_05022;ESCO.0423.00006.0002i_05022
003-026;ESCO.0423.00123.0001i_Kiwa_210;Kiwa;Kiwa;ESCO.0423.00123.0001i_00031;Kiwa__KwaA;ESCO.0423.00123.0001i_00031;ESCO.0423.00123.0001i_00031;ESCO.0423.00123.0001i_00031
003-026;ESCO.0423.00123.0001i_Kiwa_210;Kiwa;Kiwa;ESCO.0423.00123.0001i_00030;Kiwa__KwaB;ESCO.0423.00123.0001i_00030;ESCO.0423.00123.0001i_00030;ESCO.0423.00123.0001i_00030
003-026;ESCO.0423.00123.0015i_Mok_Hok_Sok_1362;Mok_Hok_Sok;Mok_Hok_Sok;ESCO.0423.00123.0015i_02978;Mok_Hok_Sok__Mok;ESCO.0423.00008.0153i_04743;ESCO.0423.00008.0153i_04743;ESCO.0423.00008.0153i_04743
003-026;ESCO.0423.00123.0018i_Druantia_III_966;Druantia;Druantia_III;ESCO.0423.00123.0018i_03326;Druantia_III__DruH;ESCO.0423.00004.0001i_02995;ESCO.0423.00009.0001i_00156;ESCO.0423.00123.0018i_03326
003-026;ESCO.0423.00123.0018i_Druantia_III_966;Druantia;Druantia_III;ESCO.0423.00123.0018i_03325;Druantia__DruE_3;ESCO.0423.00007.0039i_03981;ESCO.0423.00123.0018i_03325;ESCO.0423.00123.0018i_03325
003-026;ESCO.0423.00123.0018i_RM_Type_IV_2702;RM;RM_Type_IV;ESCO.0423.00123.0018i_03323;RM_Type_IV__Type_IV_REases;ESCO.0423.00004.0001i_02992;ESCO.0423.00042.0097i_03010;ESCO.0423.00123.0018i_03323
003-026;ESCO.0423.00123.0018i_RM_Type_IV_2702;RM;RM_Type_IV;ESCO.0423.00123.0018i_03324;RM_Type_IV__Type_IV_REases;ESCO.0423.00004.0001i_02993;ESCO.0423.00042.0097i_03011;ESCO.0423.00123.0018i_03324
003-026;ESCO.0423.00123.0018i_RM_Type_I_2701;RM;RM_Type_I;ESCO.0423.00123.0018i_03320;RM__Type_I_MTases;ESCO.0423.00004.0001i_02989;ESCO.0423.00008.0005i_02732;ESCO.0423.00123.0018i_03320
003-026;ESCO.0423.00123.0018i_RM_Type_I_2701;RM;RM_Type_I;ESCO.0423.00123.0018i_03319;RM__Type_I_REases;ESCO.0423.00004.0001i_02988;ESCO.0423.00004.0001i_02988;ESCO.0423.00123.0018i_03319
003-026;ESCO.0423.00123.0018i_RM_Type_I_2701;RM;RM_Type_I;ESCO.0423.00123.0018i_03321;RM__Type_I_S;ESCO.0423.00123.0018i_03321;ESCO.0423.00123.0018i_03321;ESCO.0423.00123.0018i_03321
003-026;ESCO.0423.00123.0020i_CAS_Class1-Subtype-I-E_3764;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00123.0020i_03525;cas1_I-E_1;ESCO.0423.00001.0001i_03702;ESCO.0423.00002.0001i_02752;ESCO.0423.00107.0017i_03343
003-026;ESCO.0423.00123.0020i_CAS_Class1-Subtype-I-E_3764;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00123.0020i_03526;cas2_I-E_2;ESCO.0423.00001.0001i_03701;ESCO.0423.00009.0019i_04199;ESCO.0423.00009.0019i_04199
003-026;ESCO.0423.00123.0020i_CAS_Class1-Subtype-I-E_3764;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00123.0020i_03519;cas3_I_5;ESCO.0423.00001.0001i_03708;ESCO.0423.00107.0017i_03337;ESCO.0423.00107.0017i_03337
003-026;ESCO.0423.00123.0020i_CAS_Class1-Subtype-I-E_3764;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00123.0020i_03523;cas5_I-E_3;ESCO.0423.00001.0001i_03704;ESCO.0423.00001.0001i_03704;ESCO.0423.00107.0017i_03341
003-026;ESCO.0423.00123.0020i_CAS_Class1-Subtype-I-E_3764;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00123.0020i_03524;cas6e_I_II_III_IV_V_VI_1;ESCO.0423.00001.0001i_03703;ESCO.0423.00107.0017i_03342;ESCO.0423.00107.0017i_03342
003-026;ESCO.0423.00123.0020i_CAS_Class1-Subtype-I-E_3764;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00123.0020i_03522;cas7_I-E_2;ESCO.0423.00066.0015i_03438;ESCO.0423.00001.0001i_03705;ESCO.0423.00107.0017i_03340
003-026;ESCO.0423.00123.0020i_CAS_Class1-Subtype-I-E_3764;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00123.0020i_03520;cas8e_I-E_1;ESCO.0423.00001.0001i_03707;ESCO.0423.00107.0017i_03338;ESCO.0423.00123.0020i_03520
003-026;ESCO.0423.00123.0020i_CAS_Class1-Subtype-I-E_3764;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00123.0020i_03521;cse2gr11_I-E_2;ESCO.0423.00016.0058i_01988;ESCO.0423.00107.0017i_03339;ESCO.0423.00107.0017i_03339
013-008;ESCO.0423.00355.0010i_MazEF_2191;MazEF;MazEF;ESCO.0423.00355.0010i_01935;MazEF__MazE;ESCO.0423.00001.0001i_03735;ESCO.0423.00006.0002i_03128;ESCO.0423.00006.0002i_03128
013-008;ESCO.0423.00355.0010i_MazEF_2191;MazEF;MazEF;ESCO.0423.00355.0010i_01936;MazEF__MazF;ESCO.0423.00001.0001i_03734;ESCO.0423.00001.0001i_03734;ESCO.0423.00005.0001i_03124
013-008;ESCO.0423.00355.0025i_CAS_Class1-Subtype-I-F_4461;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00355.0025i_03182;cas1_I-F_1;ESCO.0423.00006.0001i_00828;ESCO.0423.00006.0001i_00828;ESCO.0423.00006.0001i_00828
013-008;ESCO.0423.00355.0025i_CAS_Class1-Subtype-I-F_4461;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00355.0025i_03181;cas3f_I-F_1;ESCO.0423.00006.0001i_00829;ESCO.0423.00006.0001i_00829;ESCO.0423.00006.0001i_00829
013-008;ESCO.0423.00355.0025i_CAS_Class1-Subtype-I-F_4461;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00355.0025i_03179;cas5f_I-F_3;ESCO.0423.00006.0001i_00831;ESCO.0423.00006.0001i_00831;ESCO.0423.00006.0001i_00831
013-008;ESCO.0423.00355.0025i_CAS_Class1-Subtype-I-F_4461;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00355.0025i_03177;cas6f_I_II_III_IV_V_VI_2;ESCO.0423.00006.0001i_00833;ESCO.0423.00006.0001i_00833;ESCO.0423.00006.0001i_00833
013-008;ESCO.0423.00355.0025i_CAS_Class1-Subtype-I-F_4461;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00355.0025i_03178;cas7f_I-F_2;ESCO.0423.00006.0001i_00832;ESCO.0423.00006.0001i_00832;ESCO.0423.00334.0026i_03197
013-008;ESCO.0423.00355.0025i_CAS_Class1-Subtype-I-F_4461;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00355.0025i_03180;cas8f_I-F_4;ESCO.0423.00006.0001i_00830;ESCO.0423.00006.0001i_00830;ESCO.0423.00006.0001i_00830
013-008;ESCO.0423.00355.0035i_RM_Type_IIG_3498;RM;RM_Type_IIG;ESCO.0423.00355.0035i_03711;RM_Type_IIG__Type_IIG;ESCO.0423.00006.0002i_03424;ESCO.0423.00006.0002i_03424;ESCO.0423.00006.0002i_03424
013-008;ESCO.0423.00355.0037i_RM_Type_IV_2997;RM;RM_Type_IV;ESCO.0423.00355.0037i_03808;RM_Type_IV__Type_IV_REases;ESCO.0423.00003.0001i_04834;ESCO.0423.00006.0002i_05020;ESCO.0423.00006.0002i_05020
013-008;ESCO.0423.00355.0037i_RM_Type_I_2996;RM;RM_Type_I;ESCO.0423.00355.0037i_03811;RM__Type_I_MTases;ESCO.0423.00001.0001i_05396;ESCO.0423.00001.0001i_05396;ESCO.0423.00006.0002i_05023
013-008;ESCO.0423.00355.0037i_RM_Type_I_2996;RM;RM_Type_I;ESCO.0423.00355.0037i_03812;RM__Type_I_REases;ESCO.0423.00001.0001i_05397;ESCO.0423.00001.0001i_05397;ESCO.0423.00006.0002i_05024
013-008;ESCO.0423.00355.0037i_RM_Type_I_2996;RM;RM_Type_I;ESCO.0423.00355.0037i_03810;RM__Type_I_S;ESCO.0423.00006.0002i_05022;ESCO.0423.00006.0002i_05022;ESCO.0423.00006.0002i_05022
013-008;ESCO.0423.00355.0060i_RM_Type_IIG_2998;RM;RM_Type_IIG;ESCO.0423.00355.0060i_04478;RM_Type_IIG__Type_IIG;ESCO.0423.00310.0170i_02895;ESCO.0423.00233.0029i_01570;ESCO.0423.00233.0029i_01570
025-010;ESCO.0423.00227.0001i_CAS_Class1-Subtype-I-E_3921;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00227.0001i_00273;cas1_I-E_1;ESCO.0423.00001.0001i_03702;ESCO.0423.00018.0002i_01558;ESCO.0423.00227.0001i_00273
025-010;ESCO.0423.00227.0001i_CAS_Class1-Subtype-I-E_3921;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00227.0001i_00274;cas2_I-E_2;ESCO.0423.00001.0001i_03701;ESCO.0423.00018.0002i_01559;ESCO.0423.00018.0002i_01559
025-010;ESCO.0423.00227.0001i_CAS_Class1-Subtype-I-E_3921;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00227.0001i_00267;cas3_I_5;ESCO.0423.00001.0001i_03708;ESCO.0423.00227.0001i_00267;ESCO.0423.00227.0001i_00267
025-010;ESCO.0423.00227.0001i_CAS_Class1-Subtype-I-E_3921;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00227.0001i_00271;cas5_I-E_3;ESCO.0423.00001.0001i_03704;ESCO.0423.00018.0002i_01556;ESCO.0423.00018.0002i_01556
025-010;ESCO.0423.00227.0001i_CAS_Class1-Subtype-I-E_3921;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00227.0001i_00272;cas6e_I_II_III_IV_V_VI_1;ESCO.0423.00001.0001i_03703;ESCO.0423.00018.0002i_01557;ESCO.0423.00227.0001i_00272
025-010;ESCO.0423.00227.0001i_CAS_Class1-Subtype-I-E_3921;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00227.0001i_00270;cas7_I-E_2;ESCO.0423.00066.0015i_03438;ESCO.0423.00227.0001i_00270;ESCO.0423.00227.0001i_00270
025-010;ESCO.0423.00227.0001i_CAS_Class1-Subtype-I-E_3921;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00227.0001i_00268;cas8e_I-E_1;ESCO.0423.00001.0001i_03707;ESCO.0423.00227.0001i_00268;ESCO.0423.00227.0001i_00268
025-010;ESCO.0423.00227.0001i_CAS_Class1-Subtype-I-E_3921;CasFinder;CAS_Class1-Subtype-I-E;ESCO.0423.00227.0001i_00269;cse2gr11_I-E_2;ESCO.0423.00016.0058i_01988;ESCO.0423.00227.0001i_00269;ESCO.0423.00227.0001i_00269
025-010;ESCO.0423.00227.0001i_MazEF_2093;MazEF;MazEF;ESCO.0423.00227.0001i_00242;MazEF__MazE;ESCO.0423.00001.0001i_03735;ESCO.0423.00001.0001i_03735;ESCO.0423.00001.0001i_03735
025-010;ESCO.0423.00227.0001i_MazEF_2093;MazEF;MazEF;ESCO.0423.00227.0001i_00243;MazEF__MazF;ESCO.0423.00001.0001i_03734;ESCO.0423.00001.0001i_03734;ESCO.0423.00064.0054i_03368
025-010;ESCO.0423.00227.0001i_Mokosh_TypeII_1130;Mokosh;Mokosh_TypeII;ESCO.0423.00227.0001i_00033;Mokosh_TypeII__MkoC;ESCO.0423.00003.0001i_04617;ESCO.0423.00227.0001i_00033;ESCO.0423.00227.0001i_00033
025-010;ESCO.0423.00227.0002i_RM_Type_I_2811;RM;RM_Type_I;ESCO.0423.00227.0002i_00446;RM__Type_I_MTases;ESCO.0423.00012.0065i_03277;ESCO.0423.00012.0065i_03277;ESCO.0423.00227.0002i_00446
025-010;ESCO.0423.00227.0002i_RM_Type_I_2811;RM;RM_Type_I;ESCO.0423.00227.0002i_00444;RM__Type_I_REases;ESCO.0423.00321.0052i_03238;ESCO.0423.00012.0065i_03275;ESCO.0423.00227.0002i_00444
025-010;ESCO.0423.00227.0002i_RM_Type_I_2811;RM;RM_Type_I;ESCO.0423.00227.0002i_00445;RM__Type_I_S;ESCO.0423.00227.0002i_00445;ESCO.0423.00227.0002i_00445;ESCO.0423.00227.0002i_00445
025-010;ESCO.0423.00227.0006i_MazEF_2351;MazEF;MazEF;ESCO.0423.00227.0006i_01804;MazEF__MazE;ESCO.0423.00001.0001i_05294;ESCO.0423.00002.0001i_04266;ESCO.0423.00002.0001i_04266
025-010;ESCO.0423.00227.0006i_MazEF_2351;MazEF;MazEF;ESCO.0423.00227.0006i_01805;MazEF__MazF;ESCO.0423.00001.0001i_05295;ESCO.0423.00001.0001i_05295;ESCO.0423.00001.0001i_05295
025-010;ESCO.0423.00227.0007i_Rst_3HP_247;Rst_3HP;Rst_3HP;ESCO.0423.00227.0007i_01950;Rst_3HP__Hp1;ESCO.0423.00227.0007i_01950;ESCO.0423.00227.0007i_01950;ESCO.0423.00227.0007i_01950
025-010;ESCO.0423.00227.0007i_Rst_3HP_247;Rst_3HP;Rst_3HP;ESCO.0423.00227.0007i_01951;Rst_3HP__Hp2;ESCO.0423.00227.0007i_01951;ESCO.0423.00227.0007i_01951;ESCO.0423.00227.0007i_01951
025-010;ESCO.0423.00227.0007i_Rst_3HP_247;Rst_3HP;Rst_3HP;ESCO.0423.00227.0007i_01952;Rst_3HP__Hp3;ESCO.0423.00227.0007i_01952;ESCO.0423.00227.0007i_01952;ESCO.0423.00227.0007i_01952
025-010;ESCO.0423.00227.0009i_PsyrTA_536;PsyrTA;PsyrTA;ESCO.0423.00227.0009i_02310;PsyrTA__PsyrA;ESCO.0423.00001.0001i_04383;ESCO.0423.00008.0010i_03962;ESCO.0423.00213.0008i_02184
025-010;ESCO.0423.00227.0009i_PsyrTA_536;PsyrTA;PsyrTA;ESCO.0423.00227.0009i_02311;PsyrTA__PsyrT;ESCO.0423.00009.0017i_03591;ESCO.0423.00008.0010i_03963;ESCO.0423.00040.0012i_03319
025-010;ESCO.0423.00227.0054i_RosmerTA_1031;RosmerTA;RosmerTA;ESCO.0423.00227.0054i_04780;RosmerTA__RmrA_2585209417;ESCO.0423.00048.0022i_01811;ESCO.0423.00139.0045i_04613;ESCO.0423.00139.0045i_04613
025-010;ESCO.0423.00227.0054i_RosmerTA_1031;RosmerTA;RosmerTA;ESCO.0423.00227.0054i_04781;RosmerTA__RmrT_2585209417;ESCO.0423.00048.0022i_01812;ESCO.0423.00139.0045i_04614;ESCO.0423.00139.0045i_04614
025-010;ESCO.0423.00227.0057i_Septu_390;Septu;Septu;ESCO.0423.00227.0057i_04826;Septu__PtuA;ESCO.0423.00005.0001i_01251;ESCO.0423.00005.0001i_01251;ESCO.0423.00227.0057i_04826
025-010;ESCO.0423.00227.0057i_Septu_390;Septu;Septu;ESCO.0423.00227.0057i_04825;Septu__PtuB;ESCO.0423.00005.0001i_01252;ESCO.0423.00005.0001i_01252;ESCO.0423.00005.0001i_01252
025-010;ESCO.0423.00227.0065i_Avs_II_617;Avs;Avs_II;ESCO.0423.00227.0065i_04880;Avs_II__Avs2A;ESCO.0423.00088.0013i_01718;ESCO.0423.00088.0013i_01718;ESCO.0423.00227.0065i_04880
034-008;ESCO.0423.00272.0004i_CAS_Class1-Subtype-I-F_4431;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00272.0004i_00844;cas1_I-F_1;ESCO.0423.00006.0001i_00828;ESCO.0423.00006.0001i_00828;ESCO.0423.00006.0001i_00828
034-008;ESCO.0423.00272.0004i_CAS_Class1-Subtype-I-F_4431;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00272.0004i_00843;cas3f_I-F_1;ESCO.0423.00006.0001i_00829;ESCO.0423.00006.0001i_00829;ESCO.0423.00006.0001i_00829
034-008;ESCO.0423.00272.0004i_CAS_Class1-Subtype-I-F_4431;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00272.0004i_00841;cas5f_I-F_3;ESCO.0423.00006.0001i_00831;ESCO.0423.00006.0001i_00831;ESCO.0423.00006.0001i_00831
034-008;ESCO.0423.00272.0004i_CAS_Class1-Subtype-I-F_4431;CasFinder;CAS_Class1-Subtype-I-F;ESCO.0423.00272.0004i_00839;cas6f_I_II_III_IV_V_VI_2;ESCO.0423.00006.0001i_00833;ESCO.0423.00006.0001i_00833;ESCO.0423.00006.0001i_00833
