bacteria;replicon;gene;start;end;length
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01451;41683;42327;644
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01483;32094;32705;611
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02379;38207;38893;686
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029b_04491;3;599;596
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04523;20710;21114;404
ESCO.0722.00035;ESCO.0722.00035.0080;ESCO.0722.00035.0080b_04779;68;220;152
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01420;14020;14577;557
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01452;42324;43229;905
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01484;33057;33419;362
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01612;162881;163393;512
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02348;13421;14173;752
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02380;39609;39932;323
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04492;628;855;227
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04524;21180;22187;1007
ESCO.0722.00035;ESCO.0722.00035.0035;ESCO.0722.00035.0035b_04716;9725;9862;137
ESCO.0722.00035;ESCO.0722.00035.0081;ESCO.0722.00035.0081b_04780;3;221;218
ESCO.0722.00035;ESCO.0722.00035.0006;ESCO.0722.00035.0006i_00982;6682;7584;902
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01430;24173;24763;590
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01462;5959;7473;1514
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01494;40370;41419;1049
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02326;73589;75301;1712
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02358;22435;22815;380
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02390;59958;60191;233
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04534;27558;27908;350
ESCO.0722.00035;ESCO.0722.00035.0091;ESCO.0722.00035.0091b_04790;3;215;212
ESCO.0722.00035;ESCO.0722.00035.0006;ESCO.0722.00035.0006i_00983;8175;8468;293
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01431;24753;25034;281
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01463;7528;7899;371
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_02167;343160;343261;101
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02327;75294;76019;725
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02359;23262;23465;203
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02391;60563;62146;1583
ESCO.0722.00035;ESCO.0722.00035.0092;ESCO.0722.00035.0092b_04791;2;214;212
ESCO.0722.00035;ESCO.0722.00035.0006;ESCO.0722.00035.0006i_01016;35336;36655;1319
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01432;25118;26398;1280
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01464;8257;9117;860
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02360;24354;24563;209
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02392;62148;63773;1625
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028b_04472;75;572;497
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04536;28214;28462;248
ESCO.0722.00035;ESCO.0722.00035.0093;ESCO.0722.00035.0093b_04792;3;212;209
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01445;38405;39163;758
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_01957;109808;110041;233
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02341;7635;8408;773
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02373;34344;34718;374
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04485;10468;11586;1118
ESCO.0722.00035;ESCO.0722.00035.0075;ESCO.0722.00035.0075b_04773;14;232;218
ESCO.0722.00035;ESCO.0722.00035.0003;ESCO.0722.00035.0003i_00454;475505;475810;305
ESCO.0722.00035;ESCO.0722.00035.0006;ESCO.0722.00035.0006i_01254;301504;302133;629
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01414;6218;9037;2819
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01446;39186;39734;548
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_01958;109989;110447;458
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02342;8415;9122;707
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02374;34823;35302;479
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04486;11588;12616;1028
ESCO.0722.00035;ESCO.0722.00035.0076;ESCO.0722.00035.0076b_04774;1;132;131
ESCO.0722.00035;ESCO.0722.00035.0003;ESCO.0722.00035.0003i_00871;892986;893915;929
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01447;40289;40615;326
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02343;9101;9754;653
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02375;35408;35785;377
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04487;12603;14465;1862
ESCO.0722.00035;ESCO.0722.00035.0045;ESCO.0722.00035.0045b_04743;3;1400;1397
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008b_01456;45635;48442;2807
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01488;35193;35603;410
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_01968;118483;119154;671
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02352;15552;15917;365
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02384;45832;45960;128
ESCO.0722.00035;ESCO.0722.00035.0085;ESCO.0722.00035.0085b_04784;2;196;194
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01425;19353;20225;872
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009b_01457;426;2651;2225
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01489;35756;36730;974
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02321;69535;70413;878
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02353;15914;16576;662
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02385;46176;47576;1400
ESCO.0722.00035;ESCO.0722.00035.0020;ESCO.0722.00035.0020i_03441;92603;92821;218
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04497;2496;3248;752
ESCO.0722.00035;ESCO.0722.00035.0087;ESCO.0722.00035.0087b_04785;3;98;95
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01426;20222;20563;341
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01458;2731;3171;440
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01490;36740;37033;293
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01618;169418;170134;716
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_02034;183113;183427;314
ESCO.0722.00035;ESCO.0722.00035.0014;ESCO.0722.00035.0014i_02322;70407;70667;260
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02354;16576;17526;950
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04498;3269;3598;329
ESCO.0722.00035;ESCO.0722.00035.0054;ESCO.0722.00035.0054b_04754;1;459;458
ESCO.0722.00035;ESCO.0722.00035.0088;ESCO.0722.00035.0088b_04786;3;68;65
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01438;32666;33328;662
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01470;23186;23455;269
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_01982;128014;128766;752
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02334;1272;1964;692
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02366;29537;29734;197
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02398;72042;73100;1058
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04478;3459;3785;326
ESCO.0722.00035;ESCO.0722.00035.0029;ESCO.0722.00035.0029i_04510;12280;13119;839
ESCO.0722.00035;ESCO.0722.00035.0107;ESCO.0722.00035.0107b_04798;2;139;137
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01439;33325;34044;719
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01471;23673;24059;386
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02335;1980;3989;2009
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02367;29972;30547;575
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04479;3804;6551;2747
ESCO.0722.00035;ESCO.0722.00035.0008;ESCO.0722.00035.0008i_01440;34058;34801;743
ESCO.0722.00035;ESCO.0722.00035.0009;ESCO.0722.00035.0009i_01472;24034;24279;245
ESCO.0722.00035;ESCO.0722.00035.0011;ESCO.0722.00035.0011i_01952;106765;108096;1331
ESCO.0722.00035;ESCO.0722.00035.0015;ESCO.0722.00035.0015i_02368;30589;30747;158
ESCO.0722.00035;ESCO.0722.00035.0028;ESCO.0722.00035.0028i_04480;6563;7279;716
ESCO.0722.00035;ESCO.0722.00035.0034;ESCO.0722.00035.0034i_04704;24711;25145;434
ESCO.0722.00035;ESCO.0722.00035.0069;ESCO.0722.00035.0069b_04768;3;239;236
ESCO.0722.00043;ESCO.0722.00043.0002;ESCO.0722.00043.0002b_00941;498759;498881;122
ESCO.0722.00043;ESCO.0722.00043.0006;ESCO.0722.00043.0006i_02064;24274;25200;926
ESCO.0722.00043;ESCO.0722.00043.0074;ESCO.0722.00043.0074b_04752;2;529;527
ESCO.0722.00043;ESCO.0722.00043.0019;ESCO.0722.00043.0019b_04064;101397;101972;575
ESCO.0722.00043;ESCO.0722.00043.0045;ESCO.0722.00043.0045b_04672;5045;5275;230
ESCO.0722.00043;ESCO.0722.00043.0038;ESCO.0722.00043.0038i_04609;4890;5126;236
ESCO.0722.00043;ESCO.0722.00043.0052;ESCO.0722.00043.0052b_04705;3175;3282;107
