bacteria;gene
ESCO.0722.00170;ESCO.0722.00170.0004i_00784
ESCO.0722.00170;ESCO.0722.00170.0007i_01200
ESCO.0722.00170;ESCO.0722.00170.0010i_02000
ESCO.0722.00170;ESCO.0722.00170.0031i_03952
ESCO.0722.00170;ESCO.0722.00170.0037i_04208
ESCO.0722.00170;ESCO.0722.00170.0043i_04464
ESCO.0722.00170;ESCO.0722.00170.0208b_04880
ESCO.0722.00201;ESCO.0722.00201.0029i_03706
ESCO.0722.00201;ESCO.0722.00201.0029i_03770
ESCO.0722.00201;ESCO.0722.00201.0032i_03994
ESCO.0722.00201;ESCO.0722.00201.0079b_04794
ESCO.0722.00201;ESCO.0722.00201.0205b_04986
ESCO.0722.00201;ESCO.0722.00201.0238b_05018
ESCO.0722.00215;ESCO.0722.00215.0013i_02191
ESCO.0722.00215;ESCO.0722.00215.0013i_02255
ESCO.0722.00215;ESCO.0722.00215.0132b_04559
ESCO.0722.00230;ESCO.0722.00230.0036i_03773
ESCO.0722.00230;ESCO.0722.00230.0046i_04285
ESCO.0722.00230;ESCO.0722.00230.0053i_04509
ESCO.0722.00230;ESCO.0722.00230.0064i_04669
ESCO.0722.00230;ESCO.0722.00230.0081i_04733
ESCO.0722.00230;ESCO.0722.00230.0093b_04765
ESCO.0722.00230;ESCO.0722.00230.0134b_04829
ESCO.0722.00230;ESCO.0722.00230.0193b_04893
ESCO.0722.00230;ESCO.0722.00230.0308b_04957
ESCO.0722.00256;ESCO.0722.00256.0022i_02815
ESCO.0722.00256;ESCO.0722.00256.0028i_03615
ESCO.0722.00256;ESCO.0722.00256.0040i_04319
ESCO.0722.00256;ESCO.0722.00256.0051i_04607
ESCO.0722.00256;ESCO.0722.00256.0194b_05055
ESCO.0722.00257;ESCO.0722.00257.0035i_03677
ESCO.0722.00257;ESCO.0722.00257.0046i_04157
ESCO.0722.00257;ESCO.0722.00257.0055i_04413
ESCO.0722.00257;ESCO.0722.00257.0186b_04797
ESCO.0722.00258;ESCO.0722.00258.0001i_00039
ESCO.0722.00258;ESCO.0722.00258.0020i_02439
ESCO.0722.00258;ESCO.0722.00258.0020i_02471
ESCO.0722.00258;ESCO.0722.00258.0030i_03559
ESCO.0722.00258;ESCO.0722.00258.0063i_04679
ESCO.0722.00258;ESCO.0722.00258.0122b_04903
ESCO.0722.00258;ESCO.0722.00258.0240b_05031
ESCO.0722.00269;ESCO.0722.00269.0012i_01860
ESCO.0722.00269;ESCO.0722.00269.0028b_03204
ESCO.0722.00269;ESCO.0722.00269.0050i_04324
ESCO.0722.00269;ESCO.0722.00269.0070i_04644
ESCO.0722.00269;ESCO.0722.00269.0074i_04676
ESCO.0722.00269;ESCO.0722.00269.0180b_04868
ESCO.0722.00270;ESCO.0722.00270.0002i_00494
ESCO.0722.00270;ESCO.0722.00270.0003i_00750
ESCO.0722.00270;ESCO.0722.00270.0009i_01550
ESCO.0722.00270;ESCO.0722.00270.0010i_01710
ESCO.0722.00270;ESCO.0722.00270.0020i_02830
ESCO.0722.00270;ESCO.0722.00270.0045i_04014
ESCO.0722.00270;ESCO.0722.00270.0055i_04302
ESCO.0722.00270;ESCO.0722.00270.0064i_04462
ESCO.0722.00270;ESCO.0722.00270.0103b_04622
ESCO.0722.00270;ESCO.0722.00270.0200b_04718
ESCO.0722.00277;ESCO.0722.00277.0005i_00870
ESCO.0722.00277;ESCO.0722.00277.0013b_01574
ESCO.0722.00277;ESCO.0722.00277.0064i_04070
ESCO.0722.00277;ESCO.0722.00277.0078i_04198
ESCO.0722.00277;ESCO.0722.00277.0139b_04262
ESCO.0722.00297;ESCO.0722.00297.0002i_00601
ESCO.0722.00297;ESCO.0722.00297.0015i_02585
ESCO.0722.00297;ESCO.0722.00297.0015i_02617
ESCO.0722.00297;ESCO.0722.00297.0018i_02777
ESCO.0722.00297;ESCO.0722.00297.0018i_02809
ESCO.0722.00297;ESCO.0722.00297.0029i_03705
ESCO.0722.00297;ESCO.0722.00297.0148b_05113
ESCO.0722.00297;ESCO.0722.00297.0193b_05145
ESCO.0722.00297;ESCO.0722.00297.0254b_05177
ESCO.0722.00306;ESCO.0722.00306.0004i_00639
ESCO.0722.00306;ESCO.0722.00306.0043i_03935
ESCO.0722.00306;ESCO.0722.00306.0048i_04063
ESCO.0722.00306;ESCO.0722.00306.0048i_04095
ESCO.0722.00306;ESCO.0722.00306.0193b_04863
ESCO.0722.00306;ESCO.0722.00306.0235b_04895
ESCO.0722.00308;ESCO.0722.00308.0019i_02835
ESCO.0722.00308;ESCO.0722.00308.0022b_02963
ESCO.0722.00308;ESCO.0722.00308.0028i_03475
ESCO.0722.00308;ESCO.0722.00308.0035b_03859
ESCO.0722.00308;ESCO.0722.00308.0036i_03955
ESCO.0722.00308;ESCO.0722.00308.0036i_03987
ESCO.0722.00308;ESCO.0722.00308.0051i_04467
ESCO.0722.00308;ESCO.0722.00308.0220b_05139
ESCO.0722.00308;ESCO.0722.00308.0277b_05203
ESCO.0722.00308;ESCO.0722.00308.0306b_05235
ESCO.0722.00308;ESCO.0722.00308.0336b_05267
ESCO.0722.00308;ESCO.0722.00308.0512b_05395
ESCO.0722.00323;ESCO.0722.00323.0008i_01019
ESCO.0722.00323;ESCO.0722.00323.0026i_02779
ESCO.0722.00323;ESCO.0722.00323.0036i_03483
ESCO.0722.00323;ESCO.0722.00323.0053i_04219
ESCO.0722.00323;ESCO.0722.00323.0056i_04315
ESCO.0722.00323;ESCO.0722.00323.0059i_04411
ESCO.0722.00323;ESCO.0722.00323.0077i_04635
ESCO.0722.00323;ESCO.0722.00323.0120b_04795
ESCO.0722.00323;ESCO.0722.00323.0138b_04827
ESCO.0722.00323;ESCO.0722.00323.0165b_04859
ESCO.0722.00323;ESCO.0722.00323.0193b_04891
ESCO.0722.00323;ESCO.0722.00323.0229b_04923
ESCO.0722.00323;ESCO.0722.00323.0321b_04987
ESCO.0722.00331;ESCO.0722.00331.0013i_01202
ESCO.0722.00331;ESCO.0722.00331.0014i_01426
ESCO.0722.00331;ESCO.0722.00331.0090i_04146
ESCO.0722.00331;ESCO.0722.00331.0141b_04210
ESCO.0722.00343;ESCO.0722.00343.0007i_00924
ESCO.0722.00343;ESCO.0722.00343.0038i_03516
ESCO.0722.00343;ESCO.0722.00343.0073i_04540
ESCO.0722.00343;ESCO.0722.00343.0093i_04732
ESCO.0722.00343;ESCO.0722.00343.0316b_05084
ESCO.0722.00343;ESCO.0722.00343.0359b_05116
ESCO.0722.00348;ESCO.0722.00348.0028i_03103
ESCO.0722.00348;ESCO.0722.00348.0029i_03231
ESCO.0722.00348;ESCO.0722.00348.0219b_04863
ESCO.0722.00348;ESCO.0722.00348.0292b_04927
ESCO.0722.00352;ESCO.0722.00352.0009i_01506
ESCO.0722.00352;ESCO.0722.00352.0025i_02882
ESCO.0722.00352;ESCO.0722.00352.0042i_03714
ESCO.0722.00352;ESCO.0722.00352.0050i_04002
ESCO.0722.00352;ESCO.0722.00352.0062i_04322
ESCO.0722.00352;ESCO.0722.00352.0063i_04354
ESCO.0722.00352;ESCO.0722.00352.0069i_04450
ESCO.0722.00352;ESCO.0722.00352.0077i_04546
ESCO.0722.00352;ESCO.0722.00352.0103b_04706
ESCO.0722.00352;ESCO.0722.00352.0131b_04770
ESCO.0722.00352;ESCO.0722.00352.0204b_04866
ESCO.0722.00352;ESCO.0722.00352.0235b_04898
ESCO.0722.00352;ESCO.0722.00352.0278b_04930
ESCO.0722.00352;ESCO.0722.00352.0322b_04962
ESCO.0722.00352;ESCO.0722.00352.0369b_04994
ESCO.0722.00357;ESCO.0722.00357.0017i_02326
ESCO.0722.00357;ESCO.0722.00357.0036i_03382
ESCO.0722.00357;ESCO.0722.00357.0156b_04630
ESCO.0722.00357;ESCO.0722.00357.0170b_04662
ESCO.0722.00357;ESCO.0722.00357.0213b_04726
ESCO.0722.00357;ESCO.0722.00357.0240b_04758
ESCO.0722.00357;ESCO.0722.00357.0272b_04790
ESCO.0722.00357;ESCO.0722.00357.0307b_04822
ESCO.0722.00357;ESCO.0722.00357.0343b_04854
ESCO.0722.00357;ESCO.0722.00357.0438b_04918
ESCO.0722.00359;ESCO.0722.00359.0001i_00343
ESCO.0722.00359;ESCO.0722.00359.0017i_02679
ESCO.0722.00359;ESCO.0722.00359.0043i_04343
ESCO.0722.00359;ESCO.0722.00359.0046b_04407
ESCO.0722.00359;ESCO.0722.00359.0055b_04503
ESCO.0722.00359;ESCO.0722.00359.0184b_04855
ESCO.0722.00359;ESCO.0722.00359.0238b_04919
ESCO.0722.00359;ESCO.0722.00359.0300b_04983
ESCO.0722.00359;ESCO.0722.00359.0330b_05015
ESCO.0722.00359;ESCO.0722.00359.0360b_05047
ESCO.0722.00359;ESCO.0722.00359.0388b_05079
ESCO.0722.00359;ESCO.0722.00359.0420b_05111
ESCO.0722.00359;ESCO.0722.00359.0452b_05143
ESCO.0722.00359;ESCO.0722.00359.0488b_05175
ESCO.0722.00359;ESCO.0722.00359.0524b_05207
ESCO.0722.00359;ESCO.0722.00359.0556b_05239
ESCO.0722.00359;ESCO.0722.00359.0621b_05303
ESCO.0722.00359;ESCO.0722.00359.0692b_05367
ESCO.0722.00359;ESCO.0722.00359.0728b_05399
ESCO.0722.00359;ESCO.0722.00359.0760b_05431
ESCO.0722.00359;ESCO.0722.00359.0797b_05463
ESCO.0722.00359;ESCO.0722.00359.0835b_05495
ESCO.0722.00359;ESCO.0722.00359.0867b_05527
ESCO.0722.00359;ESCO.0722.00359.0904b_05559
ESCO.0722.00359;ESCO.0722.00359.0973b_05623
ESCO.0722.00359;ESCO.0722.00359.1007b_05655
ESCO.0722.00359;ESCO.0722.00359.1043b_05687
ESCO.0722.00359;ESCO.0722.00359.1082b_05719
ESCO.0722.00359;ESCO.0722.00359.1118b_05751
ESCO.0722.00359;ESCO.0722.00359.1154b_05783
ESCO.0722.00359;ESCO.0722.00359.1190b_05815
ESCO.0722.00359;ESCO.0722.00359.1226b_05847
ESCO.0722.00359;ESCO.0722.00359.1260b_05879
ESCO.0722.00359;ESCO.0722.00359.1293b_05911
ESCO.0722.00359;ESCO.0722.00359.1331b_05943
ESCO.0722.00375;ESCO.0722.00375.0009i_01305
ESCO.0722.00375;ESCO.0722.00375.0011i_01369
ESCO.0722.00375;ESCO.0722.00375.0016i_01721
ESCO.0722.00375;ESCO.0722.00375.0018i_02009
ESCO.0722.00375;ESCO.0722.00375.0027b_02777
ESCO.0722.00375;ESCO.0722.00375.0048i_03449
ESCO.0722.00375;ESCO.0722.00375.0298b_04857
ESCO.0722.00375;ESCO.0722.00375.0351b_04889
ESCO.0722.00375;ESCO.0722.00375.0417b_04921
ESCO.0722.00379;ESCO.0722.00379.0018i_02032
ESCO.0722.00379;ESCO.0722.00379.0076i_04464
ESCO.0722.00379;ESCO.0722.00379.0106b_04752
ESCO.0722.00379;ESCO.0722.00379.0143b_04880
ESCO.0722.00379;ESCO.0722.00379.0161b_04912
ESCO.0722.00379;ESCO.0722.00379.0304b_05072
ESCO.0722.00383;ESCO.0722.00383.0132b_04545
ESCO.0722.00383;ESCO.0722.00383.0274b_04737
ESCO.0722.00383;ESCO.0722.00383.0371b_04801
ESCO.0722.00035;ESCO.0722.00035.0008i_01444
ESCO.0722.00035;ESCO.0722.00035.0009i_01476
ESCO.0722.00035;ESCO.0722.00035.0015i_02340
ESCO.0722.00035;ESCO.0722.00035.0015i_02372
ESCO.0722.00035;ESCO.0722.00035.0028i_04484
ESCO.0722.00035;ESCO.0722.00035.0074b_04772
ESCO.0722.00043;ESCO.0722.00043.0006i_02064
ESCO.0722.00043;ESCO.0722.00043.0074b_04752
ESCO.0722.00053;ESCO.0722.00053.0003i_00727
ESCO.0722.00053;ESCO.0722.00053.0009i_01943
ESCO.0722.00053;ESCO.0722.00053.0018i_02999
ESCO.0722.00053;ESCO.0722.00053.0025i_03927
ESCO.0722.00053;ESCO.0722.00053.0027i_04183
ESCO.0722.00053;ESCO.0722.00053.0027i_04215
ESCO.0722.00053;ESCO.0722.00053.0064b_04567
ESCO.0722.00085;ESCO.0722.00085.0025i_03407
ESCO.0722.00129;ESCO.0722.00129.0020i_03626
ESCO.0722.00129;ESCO.0722.00129.0047b_04778
ESCO.0722.00129;ESCO.0722.00129.0070b_04874
ESCO.0722.00129;ESCO.0722.00129.0082b_04906
ESCO.0722.00129;ESCO.0722.00129.0193b_05034
ESCO.0722.00140;ESCO.0722.00140.0048i_04468
ESCO.0722.00140;ESCO.0722.00140.0086b_04564
ESCO.0722.00140;ESCO.0722.00140.0124b_04596
ESCO.0722.00140;ESCO.0722.00140.0167b_04628
ESCO.0722.00142;ESCO.0722.00142.0023i_03596
ESCO.0722.00149;ESCO.0722.00149.0024i_03425
ESCO.0722.00149;ESCO.0722.00149.0031i_04129
ESCO.0722.00149;ESCO.0722.00149.0031i_04161
ESCO.0722.00149;ESCO.0722.00149.0035i_04417
ESCO.0722.00149;ESCO.0722.00149.0037i_04513
ESCO.0722.00149;ESCO.0722.00149.0037i_04545
ESCO.0722.00149;ESCO.0722.00149.0065i_04961
ESCO.0722.00151;ESCO.0722.00151.0015i_03042
ESCO.0722.00151;ESCO.0722.00151.0015i_03074
ESCO.0722.00151;ESCO.0722.00151.0022i_03874
ESCO.0722.00151;ESCO.0722.00151.0030i_04258
ESCO.0722.00151;ESCO.0722.00151.0074i_04866
ESCO.0722.00151;ESCO.0722.00151.0120b_04962
ESCO.0722.00151;ESCO.0722.00151.0242b_05090
ESCO.0722.00151;ESCO.0722.00151.0275b_05122
ESCO.0722.00166;ESCO.0722.00166.0001i_00262
ESCO.0722.00166;ESCO.0722.00166.0005i_01414
ESCO.0722.00166;ESCO.0722.00166.0010i_02406
ESCO.0722.00166;ESCO.0722.00166.0012i_02630
ESCO.0722.00166;ESCO.0722.00166.0021i_03558
ESCO.0722.00166;ESCO.0722.00166.0072b_04646
ESCO.0722.00169;ESCO.0722.00169.0002i_00753
ESCO.0722.00169;ESCO.0722.00169.0006i_01233
ESCO.0722.00169;ESCO.0722.00169.0016b_03025
ESCO.0722.00169;ESCO.0722.00169.0044i_04177
ESCO.0722.00169;ESCO.0722.00169.0053i_04305
ESCO.0722.00169;ESCO.0722.00169.0059i_04369
ESCO.0722.00169;ESCO.0722.00169.0092b_04465
ESCO.0722.00169;ESCO.0722.00169.0122b_04497
ESCO.0722.00169;ESCO.0722.00169.0185b_04561
ESCO.0722.00170;ESCO.0722.00170.0001i_00145
ESCO.0722.00170;ESCO.0722.00170.0002i_00465
ESCO.0722.00170;ESCO.0722.00170.0004i_00785
ESCO.0722.00170;ESCO.0722.00170.0007i_01201
ESCO.0722.00170;ESCO.0722.00170.0010i_02001
ESCO.0722.00170;ESCO.0722.00170.0030i_03825
ESCO.0722.00170;ESCO.0722.00170.0030i_03857
ESCO.0722.00170;ESCO.0722.00170.0037i_04209
ESCO.0722.00170;ESCO.0722.00170.0040i_04401
ESCO.0722.00201;ESCO.0722.00201.0009i_01275
ESCO.0722.00201;ESCO.0722.00201.0011b_01627
ESCO.0722.00201;ESCO.0722.00201.0102b_04859
ESCO.0722.00201;ESCO.0722.00201.0141b_04923
ESCO.0722.00215;ESCO.0722.00215.0013i_02192
ESCO.0722.00269;ESCO.0722.00269.0028i_03251
ESCO.0722.00269;ESCO.0722.00269.0050i_04307
ESCO.0722.00269;ESCO.0722.00269.0069i_04627
ESCO.0722.00269;ESCO.0722.00269.0095b_04755
ESCO.0722.00270;ESCO.0722.00270.0003b_00541
ESCO.0722.00270;ESCO.0722.00270.0004b_00989
ESCO.0722.00270;ESCO.0722.00270.0011i_01981
ESCO.0722.00270;ESCO.0722.00270.0014b_02269
ESCO.0722.00270;ESCO.0722.00270.0020b_02877
ESCO.0722.00270;ESCO.0722.00270.0024b_03133
ESCO.0722.00270;ESCO.0722.00270.0038i_03773
ESCO.0722.00270;ESCO.0722.00270.0061b_04413
ESCO.0722.00270;ESCO.0722.00270.0063i_04445
ESCO.0722.00270;ESCO.0722.00270.0083b_04573
ESCO.0722.00270;ESCO.0722.00270.0225b_04733
ESCO.0722.00277;ESCO.0722.00277.0001i_00053
ESCO.0722.00277;ESCO.0722.00277.0005i_00853
ESCO.0722.00277;ESCO.0722.00277.0015i_01877
ESCO.0722.00277;ESCO.0722.00277.0022i_02453
ESCO.0722.00277;ESCO.0722.00277.0049i_03733
ESCO.0722.00277;ESCO.0722.00277.0052b_03829
ESCO.0722.00277;ESCO.0722.00277.0052b_03861
ESCO.0722.00277;ESCO.0722.00277.0160b_04277
ESCO.0722.00297;ESCO.0722.00297.0001i_00136
ESCO.0722.00297;ESCO.0722.00297.0015i_02600
ESCO.0722.00297;ESCO.0722.00297.0015i_02632
ESCO.0722.00297;ESCO.0722.00297.0018i_02792
ESCO.0722.00297;ESCO.0722.00297.0018i_02824
ESCO.0722.00297;ESCO.0722.00297.0029i_03720
ESCO.0722.00297;ESCO.0722.00297.0029i_03752
ESCO.0722.00297;ESCO.0722.00297.0038i_04168
ESCO.0722.00297;ESCO.0722.00297.0167b_05128
ESCO.0722.00306;ESCO.0722.00306.0003b_00302
ESCO.0722.00306;ESCO.0722.00306.0048i_04078
ESCO.0722.00306;ESCO.0722.00306.0252b_04910
ESCO.0722.00308;ESCO.0722.00308.0036i_03938
ESCO.0722.00308;ESCO.0722.00308.0036i_04002
ESCO.0722.00308;ESCO.0722.00308.0050i_04450
ESCO.0722.00308;ESCO.0722.00308.0054i_04546
ESCO.0722.00308;ESCO.0722.00308.0093b_04898
ESCO.0722.00308;ESCO.0722.00308.0143b_05026
ESCO.0722.00308;ESCO.0722.00308.0179b_05090
ESCO.0722.00308;ESCO.0722.00308.0292b_05218
ESCO.0722.00308;ESCO.0722.00308.0353b_05282
ESCO.0722.00308;ESCO.0722.00308.0488b_05378
ESCO.0722.00323;ESCO.0722.00323.0059i_04394
ESCO.0722.00323;ESCO.0722.00323.0128b_04810
ESCO.0722.00323;ESCO.0722.00323.0209b_04906
ESCO.0722.00323;ESCO.0722.00323.0296b_04970
ESCO.0722.00331;ESCO.0722.00331.0033i_02753
ESCO.0722.00331;ESCO.0722.00331.0038i_02945
ESCO.0722.00331;ESCO.0722.00331.0061i_03745
ESCO.0722.00331;ESCO.0722.00331.0069i_03937
ESCO.0722.00331;ESCO.0722.00331.0159b_04225
ESCO.0722.00343;ESCO.0722.00343.0014b_01803
ESCO.0722.00343;ESCO.0722.00343.0086b_04683
ESCO.0722.00343;ESCO.0722.00343.0132b_04875
ESCO.0722.00343;ESCO.0722.00343.0191b_04971
ESCO.0722.00343;ESCO.0722.00343.0295b_05067
ESCO.0722.00343;ESCO.0722.00343.0337b_05099
ESCO.0722.00343;ESCO.0722.00343.0381b_05131
ESCO.0722.00348;ESCO.0722.00348.0003b_00302
ESCO.0722.00348;ESCO.0722.00348.0063i_04302
ESCO.0722.00348;ESCO.0722.00348.0084i_04590
ESCO.0722.00348;ESCO.0722.00348.0175b_04814
ESCO.0722.00348;ESCO.0722.00348.0314b_04942
ESCO.0722.00348;ESCO.0722.00348.0362b_04974
ESCO.0722.00352;ESCO.0722.00352.0031i_03249
ESCO.0722.00352;ESCO.0722.00352.0037i_03505
ESCO.0722.00352;ESCO.0722.00352.0050i_03985
ESCO.0722.00352;ESCO.0722.00352.0050i_04017
ESCO.0722.00352;ESCO.0722.00352.0068i_04433
ESCO.0722.00352;ESCO.0722.00352.0073i_04497
ESCO.0722.00352;ESCO.0722.00352.0078i_04561
ESCO.0722.00352;ESCO.0722.00352.0142b_04785
ESCO.0722.00352;ESCO.0722.00352.0163b_04817
ESCO.0722.00352;ESCO.0722.00352.0218b_04881
ESCO.0722.00357;ESCO.0722.00357.0036i_03365
ESCO.0722.00357;ESCO.0722.00357.0050i_03877
ESCO.0722.00357;ESCO.0722.00357.0055i_04069
ESCO.0722.00357;ESCO.0722.00357.0064b_04229
ESCO.0722.00357;ESCO.0722.00357.0200b_04709
ESCO.0722.00357;ESCO.0722.00357.0322b_04837
ESCO.0722.00357;ESCO.0722.00357.0359b_04869
ESCO.0722.00357;ESCO.0722.00357.0405b_04901
ESCO.0722.00357;ESCO.0722.00357.0474b_04933
ESCO.0722.00359;ESCO.0722.00359.0024i_03046
ESCO.0722.00359;ESCO.0722.00359.0032b_04006
ESCO.0722.00359;ESCO.0722.00359.0037i_04230
ESCO.0722.00359;ESCO.0722.00359.0131b_04774
ESCO.0722.00359;ESCO.0722.00359.0172b_04838
ESCO.0722.00359;ESCO.0722.00359.0281b_04966
ESCO.0722.00359;ESCO.0722.00359.0312b_04998
ESCO.0722.00359;ESCO.0722.00359.0373b_05062
ESCO.0722.00359;ESCO.0722.00359.0399b_05094
ESCO.0722.00359;ESCO.0722.00359.0435b_05126
ESCO.0722.00359;ESCO.0722.00359.0468b_05158
ESCO.0722.00359;ESCO.0722.00359.0503b_05190
ESCO.0722.00359;ESCO.0722.00359.0539b_05222
ESCO.0722.00359;ESCO.0722.00359.0570b_05254
ESCO.0722.00359;ESCO.0722.00359.0603b_05286
ESCO.0722.00359;ESCO.0722.00359.0640b_05318
ESCO.0722.00359;ESCO.0722.00359.0674b_05350
ESCO.0722.00359;ESCO.0722.00359.0710b_05382
ESCO.0722.00359;ESCO.0722.00359.0743b_05414
ESCO.0722.00359;ESCO.0722.00359.0777b_05446
ESCO.0722.00359;ESCO.0722.00359.0815b_05478
ESCO.0722.00359;ESCO.0722.00359.0850b_05510
ESCO.0722.00359;ESCO.0722.00359.0887b_05542
ESCO.0722.00359;ESCO.0722.00359.0920b_05574
ESCO.0722.00359;ESCO.0722.00359.0956b_05606
ESCO.0722.00359;ESCO.0722.00359.0989b_05638
ESCO.0722.00359;ESCO.0722.00359.1025b_05670
ESCO.0722.00359;ESCO.0722.00359.1064b_05702
ESCO.0722.00359;ESCO.0722.00359.1098b_05734
ESCO.0722.00359;ESCO.0722.00359.1172b_05798
ESCO.0722.00359;ESCO.0722.00359.1209b_05830
ESCO.0722.00359;ESCO.0722.00359.1241b_05862
ESCO.0722.00359;ESCO.0722.00359.1275b_05894
ESCO.0722.00359;ESCO.0722.00359.1310b_05926
ESCO.0722.00359;ESCO.0722.00359.1347b_05958
ESCO.0722.00375;ESCO.0722.00375.0003b_00232
ESCO.0722.00375;ESCO.0722.00375.0005i_00840
ESCO.0722.00375;ESCO.0722.00375.0046b_03368
ESCO.0722.00375;ESCO.0722.00375.0059i_03880
ESCO.0722.00375;ESCO.0722.00375.0281b_04840
ESCO.0722.00375;ESCO.0722.00375.0318b_04872
ESCO.0722.00375;ESCO.0722.00375.0382b_04904
ESCO.0722.00379;ESCO.0722.00379.0021i_02239
ESCO.0722.00379;ESCO.0722.00379.0050i_03775
ESCO.0722.00379;ESCO.0722.00379.0099i_04703
ESCO.0722.00379;ESCO.0722.00379.0125b_04831
ESCO.0722.00379;ESCO.0722.00379.0284b_05055
ESCO.0722.00379;ESCO.0722.00379.0320b_05087
ESCO.0722.00383;ESCO.0722.00383.0056b_03600
ESCO.0722.00383;ESCO.0722.00383.0057i_03632
ESCO.0722.00383;ESCO.0722.00383.0090i_04304
ESCO.0722.00383;ESCO.0722.00383.0138b_04560
ESCO.0722.00383;ESCO.0722.00383.0169b_04624
ESCO.0722.00383;ESCO.0722.00383.0193b_04656
ESCO.0722.00383;ESCO.0722.00383.0222b_04688
ESCO.0722.00383;ESCO.0722.00383.0292b_04752
ESCO.0722.00035;ESCO.0722.00035.0008i_01427
ESCO.0722.00035;ESCO.0722.00035.0009i_01459
ESCO.0722.00035;ESCO.0722.00035.0009i_01491
ESCO.0722.00035;ESCO.0722.00035.0009i_01619
ESCO.0722.00035;ESCO.0722.00035.0014i_02323
ESCO.0722.00035;ESCO.0722.00035.0015i_02355
ESCO.0722.00035;ESCO.0722.00035.0015i_02387
ESCO.0722.00035;ESCO.0722.00035.0018i_03027
ESCO.0722.00035;ESCO.0722.00035.0055b_04755
ESCO.0722.00035;ESCO.0722.00035.0088b_04787
ESCO.0722.00053;ESCO.0722.00053.0027i_04198
ESCO.0722.00053;ESCO.0722.00053.0099b_04582
ESCO.0722.00085;ESCO.0722.00085.0034i_04126
ESCO.0722.00129;ESCO.0722.00129.0002i_00409
ESCO.0722.00129;ESCO.0722.00129.0016i_03161
ESCO.0722.00129;ESCO.0722.00129.0016i_03193
ESCO.0722.00140;ESCO.0722.00140.0106b_04579
ESCO.0722.00140;ESCO.0722.00140.0143b_04611
ESCO.0722.00142;ESCO.0722.00142.0028i_03963
