Assembly	Best match locus	Best match type	Match confidence	Problems	Coverage	Identity	Length discrepancy	Expected genes in locus	Expected genes in locus, details	Missing expected genes	Other genes in locus	Other genes in locus, details	Expected genes outside locus	Expected genes outside locus, details	Other genes outside locus	Other genes outside locus, details
AVC03	KL113	unknown (KL113)	None	?-*	51.54%	72.26%	n/a	4 / 20 (20%)	KL113_01_galF,87.838%;KL113_12,88.71%;KL113_17_gnd,95.096%;KL113_20_ugd,82.262%	KL113_02_cpsACP;KL113_03_wzi;KL113_04_wza;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ;KL113_18_manC;KL113_19_manB	0		0 / 20 (0%)		1	KL4_04_HG290,80.119%
BCH830	KL156-D1	unknown (KL156-D1)	None	?-	52.87%	89.32%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.329%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,95.0%;KL156-D1_04_rmlA,97.251%;KL156-D1_16_gnd,99.147%;KL156-D1_17_ugd,98.606%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
BCH838	KL113	unknown (KL113)	None	?-*	49.78%	71.80%	n/a	4 / 20 (20%)	KL113_01_galF,87.838%;KL113_12,88.71%;KL113_17_gnd,95.096%;KL113_20_ugd,82.262%	KL113_02_cpsACP;KL113_03_wzi;KL113_04_wza;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ;KL113_18_manC;KL113_19_manB	0		0 / 20 (0%)		1	KL4_04_HG290,80.119%
BCH853	KL113	unknown (KL113)	None	?-+*	49.28%	78.27%	n/a	6 / 20 (30%)	KL113_01_galF,89.189%;KL113_12,88.978%;KL113_17_gnd,95.309%;KL113_18_manC,96.61%;KL113_19_manB,96.484%;KL113_20_ugd,89.974%	KL113_02_cpsACP;KL113_03_wzi;KL113_04_wza;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ	4	KL156-D1_02_rmlB,95.58%;KL156-D1_04_rmlA,97.938%;KL156-D1_03_rmlD,95.0%;KL156-D1_05_rmlC,81.143%	0 / 20 (0%)		2	KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BCH855	KL54	K54	None	?-*	45.40%	72.49%	n/a	4 / 20 (20%)	KL54_01_galF,87.838%;KL54_12_gmd,89.247%;KL54_17_gnd,95.522%;KL54_20_ugd,82.776%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL36_09_rmlB,80.912%;KL4_04_HG290,80.119%
BCH857-72	KL156-D1	unknown (KL156-D1)	None	?-*	49.84%	92.04%	n/a	7 / 17 (41.2%)	KL156-D1_01_galF,99.329%;KL156-D1_02_rmlB,94.751%;KL156-D1_03_rmlD,95.0%;KL156-D1_04_rmlA,96.587%;KL156-D1_05_rmlC,80.0%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
BCH858	KL156-D1	unknown (KL156-D1)	None	?-*	49.93%	90.71%	n/a	7 / 17 (41.2%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.304%;KL156-D1_03_rmlD,96.333%;KL156-D1_04_rmlA,97.611%;KL156-D1_05_rmlC,86.391%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,81.073%;KL4_04_HG290,80.119%
BCH877	KL156-D1	unknown (KL156-D1)	None	?-*	49.60%	90.79%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,96.133%;KL156-D1_03_rmlD,96.0%;KL156-D1_04_rmlA,94.138%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,97.909%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BCH885	KL25	K25	High	-*	100.00%	96.32%	+2 bp	13 / 14 (92.9%)	KL25_01_galF,98.997%;KL25_02_cpsACP,93.81%;KL25_03_wzi,96.862%;KL25_04_wza,99.736%;KL25_05_wzb,100.0%;KL25_06_wzc,99.443%;KL25_07_wcaJ,99.785%;KL25_08_wzy,99.474%;KL25_10,98.667%;KL25_11_wcuB,99.361%;KL25_12_wzx,99.533%;KL25_13_gnd,99.572%;KL25_14_ugd,99.743%	KL25_09_wfeD	0		0 / 14 (0%)		4	KL31_18_manC,98.093%;KL30_19_manB,97.624%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BCH898	KL25	K25	Good	?-*	100.00%	96.26%	n/a	13 / 14 (92.9%)	KL25_01_galF,98.997%;KL25_02_cpsACP,93.81%;KL25_03_wzi,96.862%;KL25_04_wza,99.736%;KL25_05_wzb,100.0%;KL25_06_wzc,99.443%;KL25_07_wcaJ,99.785%;KL25_08_wzy,99.474%;KL25_10,98.667%;KL25_11_wcuB,99.361%;KL25_12_wzx,99.533%;KL25_13_gnd,99.572%;KL25_14_ugd,99.743%	KL25_09_wfeD	0		0 / 14 (0%)		4	KL31_18_manC,98.093%;KL30_19_manB,97.624%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BCH902	KL156-D1	unknown (KL156-D1)	None	?-*	50.17%	88.80%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,98.658%;KL156-D1_02_rmlB,97.238%;KL156-D1_03_rmlD,97.0%;KL156-D1_04_rmlA,97.232%;KL156-D1_16_gnd,98.721%;KL156-D1_17_ugd,93.728%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,81.073%;KL4_04_HG290,80.119%
BCH906	KL156-D1	unknown (KL156-D1)	None	?-*	49.89%	92.07%	n/a	7 / 17 (41.2%)	KL156-D1_01_galF,99.329%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,95.0%;KL156-D1_04_rmlA,96.587%;KL156-D1_05_rmlC,80.0%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
BCH957	KL156-D1	unknown (KL156-D1)	None	?-*	49.96%	92.05%	n/a	7 / 17 (41.2%)	KL156-D1_01_galF,99.329%;KL156-D1_02_rmlB,94.751%;KL156-D1_03_rmlD,95.0%;KL156-D1_04_rmlA,96.587%;KL156-D1_05_rmlC,80.0%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
BCH964	KL54	K54	None	?-*	45.90%	72.93%	n/a	4 / 20 (20%)	KL54_01_galF,88.814%;KL54_12_gmd,89.247%;KL54_17_gnd,95.309%;KL54_20_ugd,82.519%	KL54_02_cpsACP;KL54_03_wzi;KL54_04_wza;KL54_05_wzb;KL54_06_wzc;KL54_07_wclU;KL54_08_wzx;KL54_09_wzy;KL54_10_wckB;KL54_11_wcoS;KL54_13_wcaG;KL54_14_wcaH;KL54_15_wcaI;KL54_16_wcaJ;KL54_18_manC;KL54_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
BDX07	KL156-D1	unknown (KL156-D1)	None	?-*	49.78%	90.68%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,96.409%;KL156-D1_03_rmlD,94.667%;KL156-D1_04_rmlA,97.938%;KL156-D1_16_gnd,98.507%;KL156-D1_17_ugd,98.606%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		6	KL121_14_gmd,91.398%;KL156-D1_02_rmlB,81.768%;KL131_09_rmlB,80.226%;KL156-D1_01_galF,98.658%;KL156-D1_04_rmlA,85.121%;KL4_04_HG290,80.119%
BDX12	KL113	unknown (KL113)	None	?-*	45.09%	72.64%	n/a	4 / 20 (20%)	KL113_01_galF,89.189%;KL113_12,88.71%;KL113_17_gnd,95.522%;KL113_20_ugd,82.776%	KL113_02_cpsACP;KL113_03_wzi;KL113_04_wza;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ;KL113_18_manC;KL113_19_manB	0		0 / 20 (0%)		2	KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BDX14	KL156-D1	unknown (KL156-D1)	None	?-	50.29%	91.04%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,96.333%;KL156-D1_04_rmlA,97.27%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
BDX15	KL25	K25	High	-*	100.00%	96.25%	0 bp	13 / 14 (92.9%)	KL25_01_galF,98.997%;KL25_02_cpsACP,94.286%;KL25_03_wzi,96.862%;KL25_04_wza,100.0%;KL25_05_wzb,100.0%;KL25_06_wzc,99.582%;KL25_07_wcaJ,99.355%;KL25_08_wzy,99.737%;KL25_10,98.667%;KL25_11_wcuB,99.042%;KL25_12_wzx,99.766%;KL25_13_gnd,99.572%;KL25_14_ugd,99.743%	KL25_09_wfeD	0		0 / 14 (0%)		2	KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BDX18	KL113	unknown (KL113)	None	?-*	47.95%	71.88%	n/a	5 / 20 (25%)	KL113_01_galF,90.847%;KL113_12,87.097%;KL113_17_gnd,90.832%;KL113_19_manB,84.615%;KL113_20_ugd,81.748%	KL113_02_cpsACP;KL113_03_wzi;KL113_04_wza;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ;KL113_18_manC	0		0 / 20 (0%)		2	KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BDX19	KL156-D1	unknown (KL156-D1)	None	?-*	49.95%	91.24%	n/a	7 / 17 (41.2%)	KL156-D1_01_galF,98.658%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,95.333%;KL156-D1_04_rmlA,98.635%;KL156-D1_05_rmlC,82.286%;KL156-D1_16_gnd,99.147%;KL156-D1_17_ugd,98.258%	KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BDX20	KL16	K16	Good	?-+*	99.77%	96.99%	n/a	21 / 22 (95.5%)	KL16_01_galF,99.331%;KL16_02_cpsACP,92.381%;KL16_03_wzi,98.954%;KL16_04_wza,99.735%;KL16_05_wzb,99.31%;KL16_06_wzc,98.605%;KL16_07_wzx,99.01%;KL16_08_wzy,97.706%;KL16_09_gtf1,98.143%;KL16_10_vatD,98.352%;KL16_11_lacA,98.913%;KL16_12_sunS,97.735%;KL16_13_gmd,99.464%;KL16_14_fcl,98.762%;KL16_15_gmm,98.039%;KL16_16,99.259%;KL16_17_wcaJ,100.0%;KL16_18_gnd,100.0%;KL16_19,96.088%;KL16_20_manC,97.494%;KL16_22_ugd,99.743%	KL16_21_manB	1	KL137_19,100.0%	0 / 22 (0%)		3	KL31_18_manC,97.95%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
BDX21	KL55	K55	Good	?-	96.21%	95.71%	n/a	19 / 20 (95%)	KL55_01_galF,98.328%;KL55_03_wzi,97.28%;KL55_04_wza,98.421%;KL55_05_wzb,97.931%;KL55_06_wzc,98.061%;KL55_07_wcaA,98.366%;KL55_08_wcaJ,98.495%;KL55_09_wcpH,96.75%;KL55_10_wcpI,97.333%;KL55_11_wzy,96.948%;KL55_12_wcpJ,97.051%;KL55_13_wzx,97.143%;KL55_14,96.714%;KL55_15_gnd,98.721%;KL55_16_rmlB,96.901%;KL55_17_rmlA,97.569%;KL55_18_rmlD,97.643%;KL55_19_rmlC,95.676%;KL55_20_ugd,98.972%	KL55_02_cpsACP	0		0 / 20 (0%)		2	KL131_09_rmlB,80.226%;KL156-D1_01_galF,93.624%
BDX26	KL156-D1	unknown (KL156-D1)	None	?-	50.41%	91.02%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.329%;KL156-D1_02_rmlB,95.856%;KL156-D1_03_rmlD,96.333%;KL156-D1_04_rmlA,97.578%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,97.909%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
DIJ01	KL50	K50	None	?-*	57.27%	82.73%	n/a	3 / 10 (30%)	KL50_01_galF,98.997%;KL50_02_cpsACP,93.333%;KL50_03_wzi,97.822%	KL50_04_wza;KL50_05_wbaZ;KL50_06_wbaP;KL50_07_wcuU;KL50_08_wcuH;KL50_09_wzx;KL50_10	0		0 / 10 (0%)		4	KL31_18_manC,98.093%;KL30_19_manB,97.624%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
DIJ05	KL113	unknown (KL113)	None	?-*	49.77%	78.60%	n/a	6 / 20 (30%)	KL113_01_galF,89.189%;KL113_12,88.978%;KL113_17_gnd,95.736%;KL113_18_manC,96.822%;KL113_19_manB,96.491%;KL113_20_ugd,83.033%	KL113_02_cpsACP;KL113_03_wzi;KL113_04_wza;KL113_05_wzb;KL113_06_wzc;KL113_07_wzx;KL113_08;KL113_09;KL113_10;KL113_11_wcoS;KL113_13_wcaG;KL113_14;KL113_15_wcaI;KL113_16_wcaJ	0		0 / 20 (0%)		2	KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
DIJ09	KL54	K54	Good	?-+*	98.62%	94.26%	n/a	19 / 20 (95%)	KL54_01_galF,98.328%;KL54_02_cpsACP,91.905%;KL54_03_wzi,98.333%;KL54_04_wza,96.561%;KL54_05_wzb,96.552%;KL54_06_wzc,96.932%;KL54_07_wclU,94.574%;KL54_08_wzx,95.343%;KL54_09_wzy,96.122%;KL54_10_wckB,97.222%;KL54_11_wcoS,95.765%;KL54_12_gmd,99.196%;KL54_13_wcaG,95.975%;KL54_14_wcaH,94.079%;KL54_15_wcaI,92.06%;KL54_16_wcaJ,99.145%;KL54_17_gnd,99.574%;KL54_18_manC,96.948%;KL54_20_ugd,99.486%	KL54_19_manB	1	KL137_19,100.0%	0 / 20 (0%)		1	KL131_09_rmlB,80.226%
DIJ14	KL156-D1	unknown (KL156-D1)	None	?-	50.60%	92.10%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,98.658%;KL156-D1_02_rmlB,95.58%;KL156-D1_03_rmlD,96.333%;KL156-D1_04_rmlA,97.578%;KL156-D1_16_gnd,99.36%;KL156-D1_17_ugd,98.606%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.226%;KL4_04_HG290,80.119%
DIJ16	KL156-D1	unknown (KL156-D1)	High	-*	100.00%	99.05%	+6 bp	16 / 17 (94.1%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,99.724%;KL156-D1_03_rmlD,99.333%;KL156-D1_04_rmlA,100.0%;KL156-D1_05_rmlC,100.0%;KL156-D1_06_wzx,99.761%;KL156-D1_07,99.327%;KL156-D1_08_wfgD,99.31%;KL156-D1_09_wzy,99.478%;KL156-D1_10,99.2%;KL156-D1_12,99.419%;KL156-D1_13,100.0%;KL156-D1_14,93.467%;KL156-D1_15,99.167%;KL156-D1_16_gnd,99.147%;KL156-D1_17_ugd,98.258%	KL156-D1_11_arnC	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.791%;KL4_04_HG290,80.119%
DIJ17	KL156-D1	unknown (KL156-D1)	None	?-	50.01%	91.04%	n/a	6 / 17 (35.3%)	KL156-D1_01_galF,99.664%;KL156-D1_02_rmlB,95.028%;KL156-D1_03_rmlD,96.333%;KL156-D1_04_rmlA,97.27%;KL156-D1_16_gnd,98.934%;KL156-D1_17_ugd,98.606%	KL156-D1_05_rmlC;KL156-D1_06_wzx;KL156-D1_07;KL156-D1_08_wfgD;KL156-D1_09_wzy;KL156-D1_10;KL156-D1_11_arnC;KL156-D1_12;KL156-D1_13;KL156-D1_14;KL156-D1_15	0		0 / 17 (0%)		3	KL121_14_gmd,91.398%;KL131_09_rmlB,80.508%;KL4_04_HG290,80.119%
