bacteria	gembase	LPS_type
ECOR-60	ESCO.0622.00074	R1
B49	ESCO.0622.00075	R2
H1-002-0069-V-G	ESCO.0622.00076	R1
NILS71	ESCO.0622.00077	R1
NILS58	ESCO.0622.00078	R1
NILS59	ESCO.0622.00079	R1
DEC1a	ESCO.0622.00080	R2
ECOR-47	ESCO.0622.00081	R3
H1-001-0125-B-M	ESCO.0622.00082	R1
H1-006-0022-L-R	ESCO.0622.00083	R1
B691	ESCO.0622.00084	K12
H1-003-0019-B-M	ESCO.0622.00085	R1
NILS29	ESCO.0622.00086	R1
ECOR-52	ESCO.0622.00087	R1
ROAR047	ESCO.0622.00088	R1
NILS24	ESCO.0622.00089	R1
NILS76	ESCO.0622.00090	K12
NILS27	ESCO.0622.00091	K12
H48	ESCO.0622.00092	R1
NILS80	ESCO.0622.00093	R1
NILS68	ESCO.0622.00094	R1
IAI19	ESCO.0622.00095	No_waaL
IAI76	ESCO.0622.00096	R1
IAI82	ESCO.0622.00097	R1
IAI77	ESCO.0622.00098	R1
B6A1	ESCO.0622.00099	R3
IAI54	ESCO.0622.00100	R1
ECOR-22	ESCO.0622.00101	R1
ROAR344	ESCO.0622.00102	R2
001-023	ESCO.0622.00103	R4
ROAR116	ESCO.0622.00104	K12
ROAR072	ESCO.0622.00105	R1
H1-001-0003-S-J	ESCO.0622.00106	R1
FN89	ESCO.0622.00107	K12
ROAR185	ESCO.0622.00108	R1
IAI62	ESCO.0622.00109	R1
IAI70	ESCO.0622.00110	R1
ECOR-51	ESCO.0622.00111	R1
H1-007-0015-D-G	ESCO.0622.00112	R1
ECOR-57	ESCO.0622.00113	R1
E7519	ESCO.0622.00114	R3
H1-007-0037-H-D	ESCO.0622.00115	R1
ECOR-45	ESCO.0622.00116	R3
IAI69	ESCO.0622.00117	R1
IAI72	ESCO.0622.00118	R1
003-026	ESCO.0622.00119	R4
ROAR061	ESCO.0622.00120	R1
NILS48	ESCO.0622.00121	R1
ECOR-27	ESCO.0622.00122	R3
H4	ESCO.0622.00123	R1
NILS44	ESCO.0622.00124	K12
NILS75	ESCO.0622.00125	R1
NILS82	ESCO.0622.00126	R1
NILS25	ESCO.0622.00127	K12
NILS38	ESCO.0622.00128	R3
IAI41	ESCO.0622.00129	R1
ECOR-32	ESCO.0622.00130	R1
ECOR-64	ESCO.0622.00131	R1
IAI63	ESCO.0622.00132	R1
NILS65	ESCO.0622.00133	R1
NILS28	ESCO.0622.00134	R1
FN126	ESCO.0622.00135	R1
H1-001-0093-R-A	ESCO.0622.00136	R1
IAI44	ESCO.0622.00137	No_waaL
IAI65	ESCO.0622.00138	R1
IAI04	ESCO.0622.00139	No_waaL
ECOR-30	ESCO.0622.00140	R1
ECOR-33	ESCO.0622.00141	R1
H1-003-0116-V-R	ESCO.0622.00142	R1
H1-003-0079-G-R	ESCO.0622.00143	R1
IAI49	ESCO.0622.00144	R4
IAI24	ESCO.0622.00145	R3
IAI33	ESCO.0622.00146	R4
IAI02	ESCO.0622.00147	R3
IAI59	ESCO.0622.00148	R1
ECOR-28	ESCO.0622.00149	R3
ECOR-25	ESCO.0622.00150	No_waaL
H1-002-0007-M-M	ESCO.0622.00151	R1
ECOR-48	ESCO.0622.00152	R4
ECOR-62	ESCO.0622.00153	R1
H70	ESCO.0622.00154	R1
NILS81	ESCO.0622.00155	R1
ECOR-29	ESCO.0622.00156	R1
ECOR-70	ESCO.0622.00157	R1
NILS67	ESCO.0622.00158	R1
ROAR176	ESCO.0622.00159	K12
NILS73	ESCO.0622.00160	K12
ROAR291	ESCO.0622.00161	K12
NILS70	ESCO.0622.00162	R1
B156	ESCO.0622.00163	R2
IAI73	ESCO.0622.00164	R1
H1-004-0021-W-I	ESCO.0622.00165	R1
ECOR-44	ESCO.0622.00166	R3
NILS55	ESCO.0622.00167	K12
NILS60	ESCO.0622.00168	R4
NILS64	ESCO.0622.00169	K12
NILS47	ESCO.0622.00170	R1
NILS74	ESCO.0622.00171	R1
IAI20	ESCO.0622.00172	No_waaL
ECOR-07	ESCO.0622.00173	K12
ECOR-58	ESCO.0622.00174	R4
NILS79	ESCO.0622.00175	R1
H1-002-0060-C-T	ESCO.0622.00176	R1
NILS62	ESCO.0622.00177	R1
NILS78	ESCO.0622.00178	R1
IAI30	ESCO.0622.00179	R3
ECOR-34	ESCO.0622.00180	R1
H1-001-0020-M-O	ESCO.0622.00181	R1
ROAR334	ESCO.0622.00182	R1
ROAR220	ESCO.0622.00183	K12
IAI75	ESCO.0622.00184	R1
IAI71	ESCO.0622.00185	R1
H1-002-0011-M-G	ESCO.0622.00186	R1
H1-003-0105-C-R	ESCO.0622.00187	R1
NILS53	ESCO.0622.00188	K12
S1-11	ESCO.0622.00189	R1
Asp51g	ESCO.0622.00190	R3
ROAR434	ESCO.0622.00191	R4
NILS57	ESCO.0622.00192	R1
ECOR-69	ESCO.0622.00193	R1
IAI43	ESCO.0622.00194	R1
IAI67	ESCO.0622.00195	R1
ECOR-46	ESCO.0622.00196	R4
NILS21	ESCO.0622.00197	R1
ROAR059	ESCO.0622.00198	R1
NILS72	ESCO.0622.00199	R1
ROAR036	ESCO.0622.00200	R3
NILS10	ESCO.0622.00201	R1
H1-003-0090-V-J	ESCO.0622.00202	R1
ROAR205	ESCO.0622.00203	R1
NILS66	ESCO.0622.00204	R1
H1-005-0065-L-P	ESCO.0622.00205	R1
NILS42	ESCO.0622.00206	R4
NILS15	ESCO.0622.00207	R1
ECOR-31	ESCO.0622.00208	No_waaL
IAI34	ESCO.0622.00209	No_waaL
IAI38	ESCO.0622.00210	R1
ECOR-04	ESCO.0622.00211	R4
LMR-3158	ESCO.0622.00212	No_waaL
025-010	ESCO.0622.00213	R4
ROAR178	ESCO.0622.00214	R1
H1-001-0131-C-A	ESCO.0622.00215	R1
H1-004-0007-O-M	ESCO.0622.00216	R4
H47	ESCO.0622.00217	R1
IAI78	ESCO.0622.00218	R1
H1-001-0013-L-J	ESCO.0622.00219	R1
ROAR131	ESCO.0622.00220	R4
ECOR-24	ESCO.0622.00221	R1
H1-004-0017-B-M	ESCO.0622.00222	R1
NILS06	ESCO.0622.00223	No_waaL
NILS31	ESCO.0622.00224	R3
NILS52	ESCO.0622.00225	R4
H1-001-0053-K-C	ESCO.0622.00226	R4
IAI08	ESCO.0622.00227	R1
IAI81	ESCO.0622.00228	R1
IAI79	ESCO.0622.00229	R1
H1-003-0120-P-R	ESCO.0622.00230	R1
NILS39	ESCO.0622.00231	R3
IAI80	ESCO.0622.00232	R1
ECOR-15	ESCO.0622.00233	R1
H009	ESCO.0622.00234	R3
NILS43	ESCO.0622.00235	R1
H1-001-0154-T-K	ESCO.0622.00236	R1
NILS22	ESCO.0622.00237	No_waaL
H1-001-0034-S-M	ESCO.0622.00238	R4
H1-003-0115-L-R	ESCO.0622.00239	R1
NILS23	ESCO.0622.00240	R1
NILS33	ESCO.0622.00241	R3
IAI09	ESCO.0622.00242	K12
E1492	ESCO.0622.00243	R1
H1-003-0010-G-J	ESCO.0622.00244	R1
NILS14	ESCO.0622.00245	K12
ROAR043	ESCO.0622.00246	R2
NILS56	ESCO.0622.00247	R4
034-026-c1	ESCO.0622.00248	R3
IAI29	ESCO.0622.00249	K12
VDG427	ESCO.0622.00250	R3
NILS34	ESCO.0622.00251	R1
034-008	ESCO.0622.00252	R3
ROAR400	ESCO.0622.00253	R1
IAI18	ESCO.0622.00254	R1
ECOR-14	ESCO.0622.00255	K12
IAI48	ESCO.0622.00256	R3
ECOR-43_A	ESCO.0622.00257	No_waaL
NILS18	ESCO.0622.00258	R3
ROAR145	ESCO.0622.00259	R2
IAI03	ESCO.0622.00260	R1
IAI13	ESCO.0622.00261	No_waaL
ECOR-08	ESCO.0622.00262	No_waaL
370D	ESCO.0622.00263	R3
H1-003-0054-P-P	ESCO.0622.00264	R4
ROAR129	ESCO.0622.00265	K12
IAI05	ESCO.0622.00266	R1
B1932	ESCO.0622.00267	R4
IAI17	ESCO.0622.00268	No_waaL
NILS41	ESCO.0622.00269	R1
NILS40	ESCO.0622.00270	R1
035-004	ESCO.0622.00271	R3
ECOR-18	ESCO.0622.00272	R1
IAI22	ESCO.0622.00273	K12
IAI15	ESCO.0622.00274	No_waaL
ECOR-03	ESCO.0622.00275	K12
ECOR-37	ESCO.0622.00276	R3
H1-001-0155-M-I	ESCO.0622.00277	R4
ECOR-05	ESCO.0622.00278	No_waaL
NILS13	ESCO.0622.00279	R1
ECOR-17	ESCO.0622.00280	R1
ECOR-72	ESCO.0622.00281	R3
E1426	ESCO.0622.00282	K12
ECOR-11	ESCO.0622.00283	No_waaL
921A	ESCO.0622.00284	K12
ECOR-71	ESCO.0622.00285	R1
ECOR-12	ESCO.0622.00286	No_waaL
IAI40	ESCO.0622.00287	No_waaL
IAI27	ESCO.0622.00288	R3
IAI31	ESCO.0622.00289	No_waaL
ECOR-16	ESCO.0622.00290	R1
IAI21	ESCO.0622.00291	R3
H1-006-0003-S-L	ESCO.0622.00292	R1
NILS50	ESCO.0622.00293	R3
NILS20	ESCO.0622.00294	R3
Ben4d	ESCO.0622.00295	R3
IAI28	ESCO.0622.00296	K12
M863	ESCO.0622.00297	K12
H1-003-0088-B-J	ESCO.0622.00298	R1
B1747	ESCO.0622.00299	R4
IAI37	ESCO.0622.00300	No_waaL
ECOR-40	ESCO.0622.00301	R1
ECOR-02	ESCO.0622.00302	K12
NILS16	ESCO.0622.00303	No_waaL
NILS01	ESCO.0622.00304	R3
IAI07	ESCO.0622.00305	R1
H1-001-0027-S-G	ESCO.0622.00306	R1
FN-B7	ESCO.0622.00307	R2
001-031-c1	ESCO.0622.00308	R3
NILS07	ESCO.0622.00309	R3
NILS49	ESCO.0622.00310	R1
ROAR419	ESCO.0622.00311	R1
NILS46	ESCO.0622.00312	R3
NILS35	ESCO.0622.00313	No_waaL
ECOR-19	ESCO.0622.00314	R1
IAI42	ESCO.0622.00315	R1
NILS17	ESCO.0622.00316	R1
H1-005-0058-M-A	ESCO.0622.00317	R1
C2-119	ESCO.0622.00318	R4
AN03	ESCO.0622.00319	R4
ECOR-41	ESCO.0622.00320	R1
916A	ESCO.0622.00321	K12
NILS04	ESCO.0622.00322	R1
NILS09	ESCO.0622.00323	No_waaL
NILS08	ESCO.0622.00324	K12
NILS32	ESCO.0622.00325	No_waaL
013-008	ESCO.0622.00326	R3
ECOR-21	ESCO.0622.00327	R1
colF12g	ESCO.0622.00328	R3
ECOR-38	ESCO.0622.00329	R1
ROAR292	ESCO.0622.00330	R2
S1-109	ESCO.0622.00331	R2
ECOR-20	ESCO.0622.00332	R1
ECOR-39	ESCO.0622.00333	R1
NILS11	ESCO.0622.00334	K12
381A	ESCO.0622.00335	R3
IAI35	ESCO.0622.00336	R1
H1-002-0064-E-M	ESCO.0622.00337	R1
S1-76	ESCO.0622.00338	R3
IAI25	ESCO.0622.00339	K12
H14	ESCO.0622.00340	R1
ECOR-06	ESCO.0622.00341	R3
IAI11	ESCO.0622.00342	No_waaL
ECOR-13	ESCO.0622.00343	K12
IAI14	ESCO.0622.00344	No_waaL
ECOR-35	ESCO.0622.00345	R1
ECOR-49	ESCO.0622.00346	R4
NILS05	ESCO.0622.00347	R4
IAI16	ESCO.0622.00348	R1
NILS36	ESCO.0622.00349	R1
NILS30	ESCO.0622.00350	No_waaL
ECOR-50	ESCO.0622.00351	R4
B12I13	ESCO.0622.00352	R4
ECOR-09	ESCO.0622.00353	R3
IAI23	ESCO.0622.00354	R1
NILS12	ESCO.0622.00355	R1
IAI58	ESCO.0622.00356	R1
IAI06	ESCO.0622.00357	K12
IAI36	ESCO.0622.00358	R1
S1-84	ESCO.0622.00359	R2
E4962	ESCO.0622.00360	R3
ECOR-36	ESCO.0622.00361	R1
ECOR-23	ESCO.0622.00362	R1
FN-B4	ESCO.0622.00363	K12
NILS37	ESCO.0622.00364	R1
NILS03	ESCO.0622.00365	R4
H384	ESCO.0622.00366	R3
S1-91	ESCO.0622.00367	R2
E2052	ESCO.0622.00368	R3
E_albertiiCIP107988T	ESCO.0622.00369	R2
ROAR130	ESCO.0622.00370	K12
